9/1941          Indian Ocean                        Greenish globe. Non-US military
8/22/1952       Elgin, IL                           AF jets pursuing yellow light.
8/24/1952       Hermanas, NM/El Paso, TX            F-84 pilot sees two disc-shaped objects in both regions
9/19/1952       Topcliffe Airfield, UK              Air space violations, spherical UFO; jet scrambled; visuals; non-US military
9/20/1952       North Sea                           Silver, spherical UFO appears during NATIO exercises. Non-US military.
9/21/1952       North Sea                           Silver, spherical UFO tracked by RAF jets; intercept fails. Non-US military.
9/24/1952       North Sea                           RAF pilot sees close to silver, spherical, rotating UFO. Non-US military.
9/26/1952       Azores                              U.S. Air Force personnel report strange green lights approaching.
9/30/1952       Edwards AFB, CA                     Two discs hover and darting, multiple witnesses.
10/13/1952      Oshima, Japan                       Air Force pilot and engineer see UFO in clouds speed away.
10/29/1952      Hempstead, NY                       UFO seen by pilots of two F-94s; extreme acceleration.
11/25/1952      Panama Canal Zone                   Air Defense Command radar tracks two UFOs.
11/26/1952      Goose Bay AFB, Labrador             F-94 chases disc-shaped UFO.
12/4/1952       Laredo, TX                          F-51 near collision with lighted UFO; extreme speeds.
12/6/1952       Near Galveston, TX                  B-29 near collision with UFO; converges with "mother ship".
12/15/1952      Goose Bay AFB, Labrador             Ground crews track UFOs near base.
12/29/1952      Japan                               U.S. Air Force personnel; ground and airborne radar/visuals of UFO.
1/9/1953        Japan                               F-94 attempted interception of UFO tracked on radar.
1/9/1953        Santa Ana, TX                       B-29 pilots see rapid, unidentified lights in formation.
1/28/1953       Moody AFB, GA                       Radar/visual; F-86 pilot sees light change color/shape and divide.
1/29/1953       Conway, SC                          AF intelligence officer sees gray disc; fires shots
1/29/1953       Presque Isle, ME                    F-94, two other fighter aircraft, see dark gray, oval UFO.
2/1/1953        Terre Haute, IN                     T-33 pilot reports UFO.
2/6/1953        Rosalia, WA                         B-36 pilot sees unknown object circling and flashing lights.
2/7/1953        Korea                               Radar-visual; F-94 pilot sees bright object change speeds, pull away.
2/11/1953       Northern Africa                     C-119 paced by unknown object.
2/13/1953       Fort Worth, TX                      Radar-visual by B-36; several UFOs.
2/16/1953       Anchorage, AK                       Reddish UFO paces USAF transport plane.
5/21/1953       Kingman, AZ                         Possible UFO crash/retrieval.
7/19/1953       Oak Ridge Nuc. Fac., TN             Silent black object; great acceleration, joined by two others.
7/26/1953       Perrin AFB, TX                      Sixteen-minute sighting of seven UFOs.
Summer 1953     Ernest Harmon AFB, Canada           Two F-94s pursue UFO; one crashes; unconfirmed.
8/1/1953        Sequoia-Kings National Park, CA     USAF fighters attempt to force disc-shaped UFO to land.
8/5/1953        Rapid City, SD, Bismarck, ND        Radar-visual; extended encounter; F-84s scrambled.
8/6/1953        Naval Air Station, HI               Radar-visual; seventy-five lighted objects, hovering, maneuvering.
8/9/1953        Moscow, ID                          Large glowing disc; three F-86s scrambled, outmaneuvered.
8/20/1953       Castle AFB, CA                      TB-29 crew sees gray oval object; buzzes plane, separates.
8/27/1953       Greenville, MS                      AF pilot and others observe "meandering light" for fifty minutes.
8/28/1953       San Rafael, CA                      Report to JCS, CIA, and NSA of fourteen silver-colored objects.
11/11/1953      London, UK                          Radar-visual of large, metallic object; failed intercept; near collision. Non-US military.
11/23/1953      Soo Locks, MI                       F-89 pursues UFO over Lake Michigan, disappears.
12/7/1953       Fort Meade, MD                      Army personnel see UFO.
12/24/1953      El Cajon, CA                        Two navy jet pilots see ten silver, oval objects for five minutes.
12/31/1953      Quantico Marine Base, VA            USMC personnel see unidentified object land and take off.
2/11/1954       Near Carswell AFB, TX               Radar-visual; "mystery aircraft"; report to JCS, CIA, NSA.
3/8/1954        Laredo AFB, TX                      Pilot reports glowing red object at tremendous speed.
3/24/1954       Florida                             USMC pilot pursues object with extreme maneuverability.
4/22/1954       San Nicolas Island, CA              American military personnel see cigar-shaped object land.
4/29/1954       Fort Meade, MD                      Large, bright object moves straight, shoots straight up.
5/6/1954        Washington, DC                      Radar tracking of UFO; fighters scrambled.
5/13/1954       Washington, DC                      Radar-visual of object fifteen miles high; exceptional maneuverability.
5/13/1954       Washington, DC                      Two large glowing oval objects approach airport.
5/24/1954       Dallas, TX                          Four Air Guard pilots outmaneuvered by sixteen UFOs.
5/24/1954       Wright-Patterson AFB, OH            Photograph of UFO taken from RB-29 aircraft.
6/12/1954       Baltimore, MD                       Jets scrambled, cannot reach large, hovering craft.
6/14/1954       Washington-Baltimore area           Jets scrambled, unable to reach large, hovering craft.
6/23/1954       Near Dayton, OH                     F-51 pilot paced by "brilliant white light."
6/26/1954       AEC Plant, ID                       Air space violation; hovering object with intense light, rises at great speed.
6/26/1954       Near Columbus, OH                   ADC tracks UFO, seen by sixty airline passengers.
6/29/1954       Near Goose Bay, Labrador            Airline crew sees small objects, "mother" craft; jet scrambled.
6/30/1954       Brookley AFB, AL                    Radar-visual UFO sighting.
7/1/1954        Walesville, NY                      F-94 pursues UFO; intense heat forces ejection; fatalities.
7/3/1954        Near Albuquerque, NM                Radar-visual; sighting of nine green spheres.
8/12/1954       Maxwell AFB, AL                     Air space violation by "saucer-like" object; reported to NSA.
8/28/1954       Oklahoma City, OK                   Fifteen UFOs tracked on radar; jets scrambled, outdistanced.
9/17/1954       Rome, Italy                         Italian AF radar tracks disc-like object on radar. Non-US military.
9/21/1954       Azores Islands                      Guard sees UFO land, humanoid occupant, vertical take-off.
10/4/1954       England                             RAF Meteor jet buzzed by UFO. Non-US military.
10/5/1954       Benhay, Egypt                       Egyptian military officer photographs "rotating saucer". Non-US military.
10/14/1954      Southend, U.K.                      RAF Meteor near collision with silver, disc-shaped object. Non-US military.
11/21/1954      Santa Maria, Brazil                 Air base operator, others see hovering, dark object. Non-US military.
12/15/1954      Australia                           Radar/visual. Royal Australian Navy pilot paced by two UFOs. Non-US military.
1/14/1955       California, U.S.                    Unknown object hits wing of B-47; plane lands safely.
6/4/1955        Melville Sound, Canada              Radar-visual; RB-47 tracks silver metallic object; movie footage.
6/7/1955        Elison AFB, AK                      RB-47 tracks UFO on radar; experiences radar jamming.
7/1955          Pepperell AFB, Canada               Approx. date. Forty-nine-minute radar/visual of UFO; CIA report.
8/23/1955       Cincinnati, OH                      Three white spheres; jets scrambled; objects depart rapidly.
10/4/1955       Near Kiev, USSR                     U.S. Senator Richard Russell, two aides see two UFOs from a train.
10/1955         Near Lovington, NM                  Unknown object hits B-47; one survivor.
11/20/1955      Oak Ridge, TN                       Air space violation by two shiny elliptical objects.
12/11/1955      Near Jacksonville, FL               Navy jets in dogfight with round, reddish UFO.
1/15/1956       Pusan, Korea                        Glowing object sinks into sea; seen by U.S. military police.
4/8/1956        Near Syracuse, NY                   Radar-visual; military orders commercial pilot to pursue UFO.
7/19/1956       Naval AS, Hutchinson, KS            Radar-visual; RN of teardrop-shaped UFO.
7/22/1956       Pixley, CA                          C-131-D hit by object; pilot radios it is a "flying saucer."
8/13/1956       Bentwaters & Lakenheath, UK         Radar/visual sightings over NATO bases; intercept attempts. Non-US military.
9/4/1956        -                                   Danish radar tracks several objects at 1,800 mph. Non-US military.
10/26/1956      Near Okinawa                        Two American jets collide in process of tracking UFOs.
Late 1956       Castle AFB, CA                      Radar/visual of disc-shaped UFO; two jets attempt intercept.
12/1956         "Far East"                          Radar/visual of round UFO by two USAF jet pilots; radar jamming.
11/24/1956      Pierre, SD                          Several days of UFO sightings; jets scrambled; police chase of UFO.
1/21/1957       APO                                 Army Base Intelligence personnel see large shiny object over base
3/23/1957       Long Beach, CA                      Radar/visual of several UFOs, F-89 pursues; many witnesses
7/17/1957       Mississippi to Oklahoma             Radar/visual; RB-47 followed by UFO for 800 miles
7/24/1957       Kouril Islands                      Soviet anti-aircraft batteries fire on luminous UFOs. Non-US military.
9/4/1957        -                                   Four Portuguese jet pilots report bright maneuvering UFOs. Non-US military.
9/19/1957       -                                   Radar/visual by B-25 and ground crew; radar jamming
11/1957         Near Tumut Springs, Australia       RAF team has fifteen-minute, close-up UFO sighting. Non-US military.
11/1/1957       South Africa                        South African jet pilot pursues high, hovering, craft. Non-US military.
11/2/1957       Canadian, TX                        Military witnesses see submarine-shaped object on ground.
11/3/1957       White Sands, NM                     Army patrol sees bright UFO descend to ground level.
11/4/1957       Fort Itaipu, Brazil                 Circular UFO badly burns two men; U.S. investigation. Non-US military.
11/4/1957       Alamogordo, NM                      Elliptical UFO stalls car of white and engineer.
11/5/1957       Gulf of Mexico                      Radar-visual by Coast Guard of high-speed UFO; stops in midair.
11/13/1957      Crownsville, MD                     Army confiscates exploded pieces of possible UFO.
12/12/1957      Tokyo, Japan                        Radar-visual of multicolored UFO; jet scrambled.
1/16/1958       Trindade Isle, Brazil               Members of naval survey ship photograph UFO. Non-US military.
3/8/1958        Korea                               USAF radar tracks slowly changing UFO.
4/11/1958       Jutland, Denmark                    Danish pilot sees UFO formation which takes evasive action. Non-US military.
Summer 1958     Unnamed AFB in SW US                Two maneuvering UFOs evade jet interceptor.
9/8/1958        Offutt AFB, NE                      AF Major, others, see rocket-like UFO with satellites.
11/3/1958       Minot, ND                           Sergeant & medic see two maneuvering UFO;s one explodes.
3/1959          Kojaberg, Poland                    Polish soldiers see triangular object emerge from water. Non-US military.
4/1/1959        Near Tacoma, WA                     C-118 collides with unknown object, no survivors.
6/1959          Buenos Aires, Argentina             Navy traps a large object in the harbor, not a sub. Non-US military.
9/24/1959       Redmond, OR                         Six jets attempt intercept of UFO, near collision; witnesses.
7/1/1960        Canada                              Canadian authorities possibly recover "very strange metal". Non-US military.
Summer 1960     Orbit of the Earth                  "Mystery satellite" tracked, photographed by Grumman.
1/10/1961       Cape Canaveral, FL                  UFO follows Polaris missile during launch.
1/22/1961       Eglin AFB, FL                       Metallic UFO approaches, makes U-turn, speeds away.
1/29/1961       Netherlands                         Royal Dutch AF pilot in F-86 fires on UFO. Non-US military.
4/18/1962       Near Las Vegas, NV                  Probable crash/retrieval of UFO.
4/30/1962       Low Earth Orbit                     X-15 pilot photographs five or six UFOs at fifty-mile altitude.
5/12/1962       Argentina                           Two navy pilots see illuminated object rise, split in two sections. Non-US military.
7/17/1962       Low Earth Orbit                     X-15 pilot, 58 miles high, sees gray object forty feet away.
6/15/1963       Off Venezuelan coast                Navy crewman sees luminous disk.
11/12/1963      Off Argentine coast                 UFO follows Argentine naval vessel; electronic interference. Non-US military.
11/21/1963      North Sea                           Radar/visual of flashing red light passing near Scottish vessel. Non-US military.
12/1963         England                             Two RAF airmen see domed-shaped object appear to land. Non-US military.
4/30/1964       Holloman AFB, NM                    Possible landing of UFO at the base, unconfirmed.
5/22/1964       White Sands, NM                     Radar tracking of UFO.
5/29/1964       White Sands, NM                     Radar/visual of two "football-shaped" UFOs.
1/5/1965        Wallops Island, VA                  Large disc hovers over NASA station; radar tracks at 6,000 mph.
1/5/1965        Naval Air Test Center, MD            Two UFOs on radar; one makes a sharp turn at 4,800 mph.
1/11/1965       Washington, DC                      Army Radar/visual of twelve to fifteen oval UFOs; jets outdistanced.
1/12/1965       Near Blaine AFB, WA                 Radar tracks thirty-foot object that buzzes car of government official.
2/11/1965       North Pacific Ocean                 F-169 paced by three huge objects; radar/visual; extreme speed.
6/4/1965        Outer Space                         Gemini 4 mission sighting of a "weird object" with "arms."
6/19/1965       Antarctica                          Chilean military sees large lens-shaped UFO. Non-US military.
7/2/1965        Antarctica                          English base reports UFO for eight to ten minutes. Non-US military.
7/3/1965        Antarctica                          Argentine base reports large UFO; radio interference. Non-US military.
7/14/1965       Australian Space Station            Object descends, interfering with tracking of Mariner 4. Non-US military.
8/2/1965        Several Midwest States              Many UFO visuals and radar reports, including several from the AFBs.
9/1965          Argentina                           Argentine navy reports fifteen UFO incidents since 1963. Non-US military.
1965            Unnamed AFB                         Radar/visual of object; hovers over base; extreme acceleration.
1965            Portsmouth Naval Base, NH           Object hovers over base before extremely fast departure.
12/9/1965       Kecksburg, PA                       Possible crash/retrieval of UFO.
3/14/1966       Selfridge AFB, MI                   Radar tracking of objects; extreme speed & maneuverability.
3/23/1966       Temple, OK                          Employee of Sheppard AFB sees UFO blocking road.
4/17/1966       Ohio and Pennsylvania               Possible jet interception of UFO; long police chase.
6/23/1966       Albuquerque, NM                     Apollo space project engineer, others, see fast UFO.
8/20/1966       Donnybrook, ND                      Border officer sees domed UFO maneuver, zoom away.
8/24/1966       Minot AFB, ND                       Radar/visual of landed UFO; strike team inspects; four hours.
9/21/1966       Prince Edward Is., Canada           Eight RCAF members see bright object stop, land, ascend. Non-US military.
3/5/1967        Minot AFB, ND                       Radar/visual of UFO over missile site; NORAD; strike team; jets.
3/20/1967       Malmstrom AFB, MT                   Disruption of missile circuitry by UFO.
3/21/1967       Brazil                              Brazilian military craft paced by red, glowing object.
3/24/1967       Near Malmstrom AFB, ND              Reported UFO landing, investigation.
3/1967          Cuba                                Two Cuban jets attempt UFO intercept; one UFO "disintegrates". Non-US military.
6/24/1967       Argentina & Uruguay                 Thousands of witnesses, including military, report UFOs. Non-US military.
9/1/1967        Edwards AFB                         Possible base UFO sighting; official obstruction and denials.
9/6/1967        Lake Superior                       Multiple radar tracks of twenty targets at 2,000 mph; right angles; denials.
10/4/1967       Shag Harbor, Nova Scotia            Bright object enters water; RC Navy investigation. Non-US military.
9/14/1972       West Palm Beach, FL                 Two F-106s scrambled to intercept glowing UFO.
10/18/1973      Mansfield, OH                       U.S. Army reserve helicopter crew reports near collision and electromagnetic effects.
